City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
506,Svetlogorsk,BY,56.37,broken clouds,52.63,29.73,Hotel Svetlogorsk JBIK
508,Marquette,US,66.34,overcast clouds,46.53,-87.63,Al Quaal Lodge
509,Xichang,CN,65.95,overcast clouds,27.9,102.26,Xichang ibis Hotel
510,Fort-Shevchenko,KZ,69.44,clear sky,44.51,50.26,Oasis hotel Bautino
511,Vestmannaeyjar,IS,52.79,light intensity drizzle,63.44,-20.27,Glamping & Camping
512,Puqi,CN,73.96,light rain,29.72,113.88,Ramada Plaza Chibi
516,Benguela,AO,73.38,scattered clouds,-12.58,13.41,Hotel Praia Morena
519,Simao,CN,64.56,overcast clouds,22.79,100.97,Changyu Hotel
527,Poum,NC,70.16,overcast clouds,-20.23,164.02,Gîte kajeon
529,Khromtau,KZ,53.73,clear sky,50.25,58.43,Придорожный сервис Кең Дала
531,Waterford,US,74.84,broken clouds,42.7,-83.4,Olde Mill Inn-Clarkston
534,Billings,US,53.37,broken clouds,45.78,-108.5,Best Western Plus Clocktower Inn
537,Broken Hill,AU,62.31,few clouds,-31.95,141.43,Daydream Motel & Cottages
539,Santa Maria,BR,65.5,clear sky,-29.68,-53.81,Hotel Morotin
545,Ayagoz,KZ,59.49,clear sky,47.97,80.44,Gostinitsa Nur
547,Shakiso,ET,64.06,light rain,5.75,38.92,Bealu Girma Hottel
551,Nemuro,JP,55.35,overcast clouds,43.32,145.57,Hotel Nemuro Kaiyoutei
552,Coffs Harbour,AU,57.16,broken clouds,-30.3,153.13,Aquajet Motel
555,Chifeng,CN,55.35,scattered clouds,42.27,118.96,Junyu Tiancheng Hotel
556,Ayutla,MX,72.25,overcast clouds,20.12,-104.33,Hotel Restaurant La Paz
558,Hervey Bay,AU,57.31,clear sky,-25.3,152.85,Shelly Bay Resort
559,Palu,ID,74.26,overcast clouds,-0.89,119.87,Hotel Santika Palu
560,Yushu,CN,54.52,broken clouds,44.8,126.53,Honorable Institute
562,Kaiyuan,CN,66.16,broken clouds,23.7,103.3,Dongqi Hotel
563,Goderich,CA,72.03,clear sky,43.75,-81.72,Harmony Inn
565,Mercedes,AR,73.85,clear sky,-34.65,-59.43,Posada del Inti Centro
